Entity,Code,Year,Human Development Index
China,CHN,1993,0.512
China,CHN,1994,0.522
China,CHN,1995,0.532
China,CHN,1996,0.543
China,CHN,1997,0.554
China,CHN,1998,0.565
China,CHN,1999,0.575
China,CHN,2000,0.586
China,CHN,2001,0.597
China,CHN,2002,0.608
China,CHN,2003,0.619
China,CHN,2004,0.631
China,CHN,2005,0.643
China,CHN,2006,0.656
China,CHN,2007,0.668
China,CHN,2008,0.678
China,CHN,2009,0.689
China,CHN,2010,0.698
China,CHN,2011,0.706
China,CHN,2012,0.715
China,CHN,2013,0.723
China,CHN,2014,0.732
China,CHN,2015,0.741
China,CHN,2016,0.749
China,CHN,2017,0.757
China,CHN,2018,0.766
China,CHN,2019,0.775
China,CHN,2020,0.781
China,CHN,2021,0.785
China,CHN,2022,0.788
